Name,Type,Genre,Language
Mirzapur,WebSeries,Thriller,Hindi
Andhadhun,Movies,Thriller,Hindi
Kuch Kuch Hota Hai,Movies,Rom-Com,Hindi
My Love From Another Star,WebSeries,Rom-Com,K-Drama
Queen,Movies,Comedy,Hindi
Sacred Games,WebSeries,Comedy,Hindi
The Notebook,Movies,Romance,Hindi
Crash Landing on You,WebSeries,Romance,K-Drama
War,Movies,Action,Hindi
The Family Man,WebSeries,Action,Hindi
PK,Movies,Family,Hindi
Chak De India,Movies,Family,Hindi
3 Idiots,Movies,Drama,Hindi
Scam 1992,WebSeries,Drama,Hindi
Hospital Playlist,WebSeries,Drama,K-Drama
Drishyam,Movies,Suspense,Hindi
Dark,WebSeries,Suspense,K-Drama
Bhoot,Movies,Horror,Hindi
Train to Busan,Movies,Horror,K-Drama
Twilight,Movies,Fantasy,Hindi
Goblin,WebSeries,Fantasy,K-Drama

